层级 1	层级 2	层级 3	层级 4	优先级	进度	开始	逾期	持续时间 (天)	里程碑	资源
接洽	联系									
接洽	沟通海外意向									
接洽	获取产品									
接洽	初筛									
产品初选	发行会议									
产品初选	游戏展示									
产品初选	团队介绍									
产品初选	产品初选-进入B轮									
B轮测试	核心玩法									
B轮测试	文化									
B轮沟通	第一轮价格									
B轮沟通	团队信息									
B轮沟通	数据状况									
B轮沟通	投融资沟通	进入投资流程								
产品精选	发行会议									
产品精选	B轮测试结论沟通									
产品精选	B轮沟通结论同步									
产品精选	产品精选-进入C轮									
C轮测试	深入测试									
C轮测试	中长期模拟测试									
C轮测试	数值测试									
C轮测试	细节等									
C轮沟通	第二轮价格									
C轮沟通	优化需求									
C轮沟通	可能的合作时间表									
产品确定	发行会议									
产品确定	C轮测试结论沟通									
产品确定	C轮沟通结论同步									
产品确定	产品精选-进入C轮									
商务环节	确定产品与区域									
商务环节	确定时间									
商务环节	确定价格									
商务环节	确定付款方式									
商务环节	确定合同其他信息									
商务环节	合同拟定									
商务环节	合同签署									
商务环节	款项跟踪									
产品修改与接入	指派产品运营服务人员	产品相关修改信息和对接								
产品修改与接入	指派产品运营服务人员	我方资源的申请和组织								
产品修改与接入	指派产品运营服务人员	跟踪对方推进结果								
产品修改与接入	本地化	语言翻译								
产品修改与接入	本地化	故事构建								
产品修改与接入	SDK接入									
产品修改与接入	修改	优化型修改	数值优化							
产品修改与接入	修改	优化型修改	引导优化							
产品修改与接入	修改	优化型修改	美术优化							
产品修改与接入	修改	优化型修改	UE优化							
产品修改与接入	修改	针对性优化	推广优化							
产品修改与接入	修改	针对性优化	Facebook接入优化							
产品修改与接入	修改后测试									
产品发布	发布苹果	根据计划确认苹果制作完成的时间								
产品发布	发布苹果	确认发布用的开发者账号								
产品发布	发布苹果	开发者账号信息确认								
产品发布	发布苹果	制作和确认介绍，图片，图标，名称								
产品发布	发布苹果	正式提交审核								
产品发布	发布android									
推广	第一轮	千人测试								
推广	第二轮	榜单推广								
推广	第三轮	整合营销								
迭代运营										
部门规范	游戏推广流程	推广定级标准								
部门规范	游戏定级标准	游戏测试流程								
部门规范	投资流程									
部门规范	发行主流程									
部门规范	移动产品发布流程									
部门规范	发行部门绩效考核和奖励制度									
